Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Abner,br BRA,DF,Real Betis,22,2000,6.7,0,5,2,40.0,0.74,0.30,0.00,0.00,0,0,Matches
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,3,20,5,25.0,0.94,0.24,0.15,0.60,0,0,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,0,0,0,,0.00,0.00,,,0,0,Matches
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,1,20,6,30.0,0.95,0.29,0.05,0.17,0,0,Matches
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,3,14,3,21.4,0.40,0.09,0.21,1.00,0,0,Matches
7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,1,23,7,30.4,0.90,0.27,0.04,0.14,0,0,Matches
8,Babatunde Akinsola,ng NGA,MF,Valladolid,19,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
9,Paul Akouokou,ci CIV,"MF,DF",Real Betis,24,1997,5.0,0,3,1,33.3,0.60,0.20,0.00,0.00,0,0,Matches
10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,1,14,3,21.4,0.69,0.15,0.07,0.33,0,0,Matches
11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,0,0,Matches
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,0,0,Matches
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,2,13,4,30.8,0.82,0.25,0.15,0.50,0,0,Matches
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,0,2,1,50.0,0.08,0.04,0.00,0.00,0,0,Matches
15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,3,34,7,20.6,1.50,0.31,0.03,0.14,2,3,Matches
16,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,1,17,8,47.1,0.75,0.35,0.06,0.13,0,0,Matches
17,Iván Alejo,es ESP,MF,Cádiz,27,1995,14.6,0,23,6,26.1,1.58,0.41,0.00,0.00,0,0,Matches
18,Carles Aleñá,es ESP,"MF,FW",Getafe,24,1998,23.5,2,33,10,30.3,1.40,0.42,0.06,0.20,0,0,Matches
19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
20,Ángel Algobia,es ESP,MF,Getafe,23,1999,12.6,0,7,1,14.3,0.55,0.08,0.00,0.00,0,0,Matches
21,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,18,2004,6.5,1,23,12,52.2,3.53,1.84,0.04,0.08,0,0,Matches
22,André Almeida,pt POR,MF,Valencia,22,2000,28.2,2,23,8,34.8,0.82,0.28,0.09,0.25,0,0,Matches
23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,13.0,1,6,2,33.3,0.46,0.15,0.17,0.50,0,0,Matches
24,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,16.7,2,5,2,40.0,0.30,0.12,0.40,1.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,25.9,1,8,1,12.5,0.31,0.04,0.13,1.00,0,0,Matches
27,Selim Amallah,ma MAR,"MF,FW",Valladolid,25,1996,3.0,2,5,2,40.0,1.69,0.67,0.40,1.00,0,0,Matches
28,Amath,sn SEN,"MF,FW",Mallorca,26,1996,13.6,2,23,7,30.4,1.69,0.51,0.09,0.29,0,0,Matches
29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,2.2,0,0,0,,0.00,0.00,,,0,0,Matches
30,Marcos André,br BRA,FW,Valencia,25,1996,5.0,1,17,2,11.8,3.42,0.40,0.06,0.50,0,0,Matches
31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,6.5,0,3,0,0.0,0.46,0.00,0.00,,0,0,Matches
32,Josep Antoni Gayá,es ESP,DF,Mallorca,22,2000,1.1,0,0,0,,0.00,0.00,,,0,0,Matches
33,José Antonio,es ESP,MF,Cádiz,18,2004,0.5,0,0,0,,0.00,0.00,,,0,0,Matches
34,Anuar,ma MAR,"MF,FW",Valladolid,27,1995,2.3,1,3,1,33.3,1.29,0.43,0.33,1.00,0,0,Matches
35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,11.0,0,8,0,0.0,0.73,0.00,0.00,,0,0,Matches
36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,20.0,0,18,1,5.6,0.90,0.05,0.00,0.00,0,0,Matches
37,Adu Ares,es ESP,MF,Athletic Club,20,2001,0.9,0,3,0,0.0,3.21,0.00,0.00,,0,0,Matches
38,Sergio Arribas,es ESP,MF,Real Madrid,20,2001,0.2,0,1,0,0.0,4.74,0.00,0.00,,0,0,Matches
39,Roberto Arroyo,es ESP,FW,Valladolid,18,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
40,Ricard Artero,es ESP,MF,Girona,19,2003,1.5,0,4,2,50.0,2.71,1.35,0.00,0.00,0,0,Matches
41,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24,1998,5.4,0,4,2,50.0,0.75,0.37,0.00,0.00,0,0,Matches
42,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10.0,0,0,0,,0.00,0.00,,,0,0,Matches
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,16.0,9,59,25,42.4,3.68,1.56,0.15,0.36,0,1,Matches
44,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,31.9,12,78,33,42.3,2.45,1.04,0.13,0.30,2,3,Matches
45,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Barcelona,33,1989,0.1,0,1,1,100.0,10.00,10.00,0.00,0.00,0,0,Matches
46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,1.5,0,0,0,,0.00,0.00,,,0,0,Matches
47,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,19.0,8,67,24,35.8,3.53,1.26,0.09,0.25,2,3,Matches
48,Iddrisu Baba,gh GHA,MF,Mallorca,26,1996,18.9,0,12,2,16.7,0.63,0.11,0.00,0.00,0,0,Matches
49,Srđan Babić,rs SRB,DF,Almería,26,1996,33.3,3,9,5,55.6,0.27,0.15,0.33,0.60,0,0,Matches
50,Loïc Bade,fr FRA,DF,Sevilla,22,2000,16.1,1,4,2,50.0,0.25,0.12,0.25,0.50,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Édgar Badía,es ESP,GK,Elche,30,1992,36.0,0,0,0,,0.00,0.00,,,0,0,Matches
52,Álex Baena,es ESP,"MF,FW",Villarreal,21,2001,21.6,6,62,23,37.1,2.87,1.06,0.10,0.26,0,0,Matches
53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,27.5,1,19,4,21.1,0.69,0.15,0.05,0.25,0,0,Matches
54,Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,1.3,0,1,0,0.0,0.78,0.00,0.00,,0,0,Matches
55,Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,35.9,0,6,1,16.7,0.17,0.03,0.00,0.00,0,0,Matches
56,Léo Baptistão,br BRA,"FW,MF",Almería,29,1992,19.2,4,44,15,34.1,2.29,0.78,0.09,0.27,0,0,Matches
57,Keidi Bare,al ALB,MF,Espanyol,24,1997,5.6,0,5,3,60.0,0.89,0.54,0.00,0.00,0,0,Matches
58,Kike Barja,es ESP,"FW,MF",Osasuna,25,1997,14.6,1,17,6,35.3,1.17,0.41,0.06,0.17,0,0,Matches
59,Ander Barrenetxea,es ESP,"DF,MF",Real Sociedad,20,2001,9.8,3,18,12,66.7,1.85,1.23,0.17,0.25,0,0,Matches
60,Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,8.0,0,12,3,25.0,1.49,0.37,0.00,0.00,0,0,Matches
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,7.6,0,2,0,0.0,0.26,0.00,0.00,,0,0,Matches
62,Bebé,cv CPV,"FW,MF",Rayo Vallecano,32,1990,0.7,0,4,0,0.0,6.00,0.00,0.00,,0,0,Matches
63,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,1.6,0,0,0,,0.00,0.00,,,0,0,Matches
64,Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,31.7,0,25,2,8.0,0.79,0.06,0.00,0.00,0,0,Matches
65,Iker Benito,es ESP,MF,Osasuna,19,2002,2.0,0,0,0,,0.00,0.00,,,0,0,Matches
66,Karim Benzema,fr FRA,FW,Real Madrid,34,1987,22.6,19,107,45,42.1,4.73,1.99,0.11,0.27,7,8,Matches
67,Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,26.7,1,28,8,28.6,1.05,0.30,0.04,0.13,0,0,Matches
68,Álex Berenguer,es ESP,MF,Athletic Club,27,1995,25.5,4,56,19,33.9,2.19,0.74,0.07,0.21,0,0,Matches
69,Pedro Bigas,es ESP,DF,Elche,31,1990,22.4,0,22,8,36.4,0.98,0.36,0.00,0.00,0,0,Matches
70,El Bilal Touré,ml MLI,FW,Almería,20,2001,14.0,7,29,14,48.3,2.06,1.00,0.24,0.50,0,0,Matches
71,Antonio Blanco,es ESP,MF,Cádiz,22,2000,1.8,0,0,0,,0.00,0.00,,,0,0,Matches
72,Lautaro Blanco,ar ARG,"DF,MF",Elche,23,1999,9.7,0,1,1,100.0,0.10,0.10,0.00,0.00,0,0,Matches
73,Theo Bongonda,cd COD,MF,Cádiz,26,1995,21.5,4,43,15,34.9,2.00,0.70,0.07,0.20,1,1,Matches
74,Yassine Bounou,ma MAR,GK,Sevilla,31,1991,23.9,0,0,0,,0.00,0.00,,,0,0,Matches
75,Lucas Boyé,ar ARG,FW,Elche,26,1996,27.4,7,72,21,29.2,2.63,0.77,0.10,0.33,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31,1991,27.3,10,59,26,44.1,2.16,0.95,0.17,0.38,0,0,Matches
77,Darko Brašanac,rs SRB,MF,Osasuna,30,1992,11.6,1,11,4,36.4,0.95,0.35,0.09,0.25,0,0,Matches
78,Claudio Bravo,cl CHI,GK,Real Betis,39,1983,12.0,0,0,0,,0.00,0.00,,,0,0,Matches
79,Ante Budimir,hr CRO,FW,Osasuna,31,1991,20.0,8,58,21,36.2,2.90,1.05,0.14,0.38,0,0,Matches
80,Manu Bueno,es ESP,MF,Sevilla,18,2004,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,0,0,Matches
81,Santiago Bueno,uy URU,DF,Girona,23,1998,33.4,0,13,3,23.1,0.39,0.09,0.00,0.00,0,0,Matches
82,Sergio Busquets,es ESP,MF,Barcelona,34,1988,26.0,0,9,2,22.2,0.35,0.08,0.00,0.00,0,0,Matches
83,Leandro Cabrera,uy URU,DF,Espanyol,31,1991,29.7,0,23,6,26.1,0.78,0.20,0.00,0.00,0,0,Matches
84,Cala,es ESP,DF,Cádiz,32,1989,1.5,0,1,0,0.0,0.66,0.00,0.00,,0,0,Matches
85,Fernando Calero,es ESP,"DF,MF",Espanyol,26,1995,17.9,0,7,2,28.6,0.39,0.11,0.00,0.00,0,0,Matches
86,Alexander Callens,pe PER,DF,Girona,30,1992,1.3,0,0,0,,0.00,0.00,,,0,0,Matches
87,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,19,2002,22.3,0,18,3,16.7,0.81,0.13,0.00,0.00,0,0,Matches
88,Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001,26.7,6,76,19,25.0,2.85,0.71,0.08,0.32,0,0,Matches
89,Sergio Canales,es ESP,MF,Real Betis,31,1991,26.7,4,38,11,28.9,1.42,0.41,0.08,0.27,1,1,Matches
90,Ander Capa,es ESP,DF,Athletic Club,30,1992,1.2,0,0,0,,0.00,0.00,,,0,0,Matches
91,Étienne Capoue,fr FRA,MF,Villarreal,34,1988,21.7,3,26,12,46.2,1.20,0.55,0.12,0.25,0,0,Matches
92,Isaac Carcelen,es ESP,DF,Cádiz,29,1993,24.4,0,7,1,14.3,0.29,0.04,0.00,0.00,0,0,Matches
93,Juan Carlos,es ESP,GK,Girona,34,1988,10.0,0,0,0,,0.00,0.00,,,0,0,Matches
94,José Carlos Lazo,es ESP,MF,Almería,26,1996,0.2,0,2,1,50.0,9.00,4.50,0.00,0.00,0,0,Matches
95,José Carlos Lazo,es ESP,MF,Espanyol,26,1996,1.8,1,4,1,25.0,2.26,0.57,0.25,1.00,0,0,Matches
96,Carmona,es ESP,DF,Sevilla,20,2002,5.9,2,5,2,40.0,0.85,0.34,0.40,1.00,0,0,Matches
97,Carmona,es ESP,"MF,DF",Elche,20,2002,6.5,1,5,3,60.0,0.76,0.46,0.20,0.33,0,0,Matches
98,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,28,1993,25.7,7,67,23,34.3,2.60,0.89,0.09,0.26,1,1,Matches
99,Dani Carvajal,es ESP,DF,Real Madrid,30,1992,19.8,0,12,0,0.0,0.61,0.00,0.00,,0,0,Matches
100,William Carvalho,pt POR,MF,Real Betis,30,1992,27.1,3,26,9,34.6,0.96,0.33,0.12,0.33,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Casemiro,br BRA,MF,Real Madrid,30,1992,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
102,Valentín Castellanos,ar ARG,FW,Girona,23,1998,28.9,13,86,33,38.4,2.98,1.14,0.14,0.36,1,1,Matches
103,Samu Castillejo,es ESP,"FW,MF",Valencia,27,1995,15.1,4,37,11,29.7,2.44,0.73,0.11,0.36,0,0,Matches
104,Catena,es ESP,DF,Rayo Vallecano,27,1994,34.5,1,14,5,35.7,0.41,0.15,0.07,0.20,0,0,Matches
105,Edinson Cavani,uy URU,FW,Valencia,35,1987,16.1,5,34,11,32.4,2.11,0.68,0.09,0.27,2,3,Matches
106,Dani Ceballos,es ESP,MF,Real Madrid,25,1996,17.4,0,18,5,27.8,1.04,0.29,0.00,0.00,0,0,Matches
107,Álex Centelles,es ESP,"DF,MF",Almería,24,1997,12.5,1,5,3,60.0,0.40,0.24,0.20,0.33,0,0,Matches
108,Franco Cervi,ar ARG,MF,Celta Vigo,28,1994,21.0,0,23,6,26.1,1.09,0.29,0.00,0.00,0,0,Matches
109,Pep Chavarría,es ESP,MF,Rayo Vallecano,24,1998,4.1,0,2,0,0.0,0.49,0.00,0.00,,0,0,Matches
110,Pape Cheikh Diop,sn SEN,MF,Elche,24,1997,0.4,0,0,0,,0.00,0.00,,,0,0,Matches
111,Andreas Christensen,dk DEN,DF,Barcelona,26,1996,19.6,1,10,5,50.0,0.51,0.26,0.10,0.20,0,0,Matches
112,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,23,1999,26.0,6,60,17,28.3,2.31,0.65,0.10,0.35,0,0,Matches
113,Chumi,es ESP,DF,Almería,23,1999,16.5,1,3,1,33.3,0.18,0.06,0.33,1.00,0,0,Matches
114,Víctor Chust,es ESP,DF,Cádiz,22,2000,10.7,1,2,2,100.0,0.19,0.19,0.50,0.50,0,0,Matches
115,Pathé Ciss,sn SEN,MF,Rayo Vallecano,28,1994,14.2,1,20,5,25.0,1.40,0.35,0.05,0.20,0,0,Matches
116,Carlos Clerc,es ESP,"DF,MF",Elche,30,1992,29.3,0,9,3,33.3,0.31,0.10,0.00,0.00,0,0,Matches
117,Álex Collado,es ESP,MF,Elche,23,1999,8.0,1,17,6,35.3,2.12,0.75,0.06,0.17,0,0,Matches
118,Diego Collado,es ESP,"FW,MF",Villarreal,21,2001,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
119,Eray Cömert,ch SUI,DF,Valencia,24,1998,18.6,1,10,6,60.0,0.54,0.32,0.10,0.17,0,0,Matches
120,Santi Comesaña,es ESP,MF,Rayo Vallecano,25,1996,27.2,3,25,7,28.0,0.92,0.26,0.12,0.43,0,0,Matches
121,Copete,es ESP,DF,Mallorca,22,1999,24.5,1,6,1,16.7,0.24,0.04,0.17,1.00,0,0,Matches
122,Francis Coquelin,fr FRA,MF,Villarreal,31,1991,8.3,1,7,1,14.3,0.84,0.12,0.14,1.00,0,0,Matches
123,Jesús Corona,mx MEX,MF,Sevilla,29,1993,1.2,1,1,1,100.0,0.81,0.81,1.00,1.00,0,0,Matches
124,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,27,1995,16.2,9,43,18,41.9,2.66,1.11,0.21,0.50,0,0,Matches
125,Thierry Correia,pt POR,DF,Valencia,23,1999,22.3,0,6,0,0.0,0.27,0.00,0.00,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Jaume Costa,es ESP,DF,Mallorca,34,1988,28.9,0,11,6,54.5,0.38,0.21,0.00,0.00,0,0,Matches
127,Samu Costa,pt POR,MF,Almería,21,2000,22.1,1,20,7,35.0,0.90,0.32,0.05,0.14,0,0,Matches
128,Thibaut Courtois,be BEL,GK,Real Madrid,30,1992,31.0,0,0,0,,0.00,0.00,,,0,0,Matches
129,Yan Couto,br BRA,"MF,DF",Girona,20,2002,12.9,1,8,1,12.5,0.62,0.08,0.13,1.00,0,0,Matches
130,Juan Cruz Armada,es ESP,DF,Osasuna,30,1992,22.9,0,2,0,0.0,0.09,0.00,0.00,,0,0,Matches
131,Juan Cruz,es ESP,MF,Real Betis,22,2000,2.0,1,5,2,40.0,2.53,1.01,0.20,0.50,0,0,Matches
132,Jorge Cuenca,es ESP,DF,Villarreal,22,1999,5.6,0,4,0,0.0,0.71,0.00,0.00,,0,0,Matches
133,Braian Cufré,ar ARG,"MF,DF",Mallorca,25,1996,2.4,0,3,0,0.0,1.23,0.00,0.00,,0,0,Matches
134,Matheus Cunha,br BRA,"MF,FW",Atlético Madrid,23,1999,4.2,0,12,8,66.7,2.86,1.91,0.00,0.00,0,0,Matches
135,Curro,es ESP,"FW,MF",Almería,26,1996,0.5,0,1,1,100.0,2.09,2.09,0.00,0.00,0,0,Matches
136,Arnaut Danjuma,nl NED,FW,Villarreal,25,1997,5.3,2,12,5,41.7,2.25,0.94,0.08,0.20,1,1,Matches
137,Sergi Darder,es ESP,MF,Espanyol,28,1993,36.9,6,39,13,33.3,1.06,0.35,0.15,0.46,0,0,Matches
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,28,1994,21.4,2,21,5,23.8,0.98,0.23,0.10,0.40,0,0,Matches
139,Alberto Del Moral,es ESP,MF,Villarreal,22,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
140,Thomas Delaney,dk DEN,MF,Sevilla,30,1991,3.4,0,3,1,33.3,0.87,0.29,0.00,0.00,0,0,Matches
141,Fran Delgado,es ESP,DF,Real Betis,21,2001,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
142,Ousmane Dembélé,fr FRA,FW,Barcelona,25,1997,15.7,5,49,17,34.7,3.13,1.09,0.10,0.29,0,0,Matches
143,Mouctar Diakhaby,gn GUI,DF,Valencia,25,1996,27.2,3,21,7,33.3,0.77,0.26,0.14,0.43,0,0,Matches
144,Mamady Diarra,ml MLI,MF,Cádiz,22,2000,0.7,0,3,0,0.0,4.09,0.00,0.00,,0,0,Matches
145,Youba Diarra,ml MLI,MF,Cádiz,24,1998,1.1,0,0,0,,0.00,0.00,,,0,0,Matches
146,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28,1993,36.9,0,0,0,,0.00,0.00,,,0,0,Matches
147,Djené,tg TOG,DF,Getafe,30,1991,31.6,0,9,1,11.1,0.29,0.03,0.00,0.00,0,0,Matches
148,Marko Dmitrović,rs SRB,GK,Sevilla,30,1992,14.1,0,0,0,,0.00,0.00,,,0,0,Matches
149,Matt Doherty,ie IRL,"DF,MF",Atlético Madrid,30,1992,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
150,Kasper Dolberg,dk DEN,FW,Sevilla,24,1997,2.2,0,2,1,50.0,0.91,0.46,0.00,0.00,0,0,Matches
