Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Abner,br BRA,DF,Real Betis,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Marcos Acuña,ar ARG,"DF,MF",Sevilla,31,1991,21,18,1292,14.4,1,2,3,1,0,0,7,0,0.07,0.14,0.21,0.07,0.21,Matches
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,12,9,777,8.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Ilias Akhomach,ma MAR,MF,Villarreal,19,2004,31,17,1511,16.8,2,2,4,2,0,0,4,0,0.12,0.12,0.24,0.12,0.24,Matches
9,Sergio Akieme,es ESP,"DF,MF",Almería,25,1997,19,19,1675,18.6,2,0,2,2,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
10,Paul Akouokou,ci CIV,MF,Real Betis,25,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,David Alaba,at AUT,DF,Real Madrid,31,1992,14,14,1154,12.8,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,26,24,2031,22.6,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,36,36,3134,34.8,3,1,4,1,2,2,14,0,0.09,0.03,0.11,0.03,0.06,Matches
14,Omar Alderete,py PAR,DF,Getafe,26,1996,31,24,2195,24.4,0,1,1,0,0,0,8,1,0.00,0.04,0.04,0.00,0.04,Matches
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,30,21,1692,18.8,0,2,2,0,0,0,17,0,0.00,0.11,0.11,0.00,0.11,Matches
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,29,10,1020,11.3,1,1,2,1,0,0,6,0,0.09,0.09,0.18,0.09,0.18,Matches
17,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Tadeo Allende,ar ARG,MF,Celta Vigo,24,1999,10,2,336,3.7,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches
19,André Almeida,pt POR,"FW,MF",Valencia,23,2000,18,12,965,10.7,2,1,3,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28,Matches
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Adrià Altimira,es ESP,"DF,MF",Villarreal,22,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Sergi Altimira,es ESP,MF,Real Betis,21,2001,14,6,568,6.3,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
23,Gastón Álvarez,uy URU,DF,Getafe,23,2000,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.07,0.00,0.07,0.07,0.07,Matches
24,Hugo Álvarez,es ESP,"MF,FW",Celta Vigo,20,2003,12,8,762,8.5,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches
25,Yeray Álvarez,es ESP,DF,Athletic Club,28,1995,19,14,1152,12.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Selim Amallah,ma MAR,"MF,FW",Valencia,26,1996,20,7,604,6.7,0,1,1,0,0,0,5,1,0.00,0.15,0.15,0.00,0.15,Matches
27,Amath,sn SEN,"FW,MF",Mallorca,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Miguel Ángel Rubio,es ESP,DF,Granada,25,1998,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches
29,Fabrizio Angileri,ar ARG,DF,Getafe,29,1994,11,2,164,1.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
30,Mauro Arambarri,uy URU,MF,Getafe,27,1995,7,3,339,3.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Jon Aramburu,ve VEN,"DF,MF",Real Sociedad,21,2002,11,5,543,6.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Julian Araujo,mx MEX,DF,Las Palmas,21,2001,25,15,1462,16.2,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches
33,Ronald Araújo,uy URU,DF,Barcelona,24,1999,25,21,1997,22.2,1,2,3,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,Matches
34,Adu Ares,es ESP,MF,Athletic Club,21,2001,12,2,265,2.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Jesús Areso,es ESP,"DF,MF",Osasuna,24,1999,37,29,2660,29.6,1,6,7,1,0,0,3,0,0.03,0.20,0.24,0.03,0.24,Matches
36,Matias Arezo,uy URU,FW,Granada,20,2002,14,3,369,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Iñigo Arguibide,es ESP,FW,Osasuna,18,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,José Arnaiz,es ESP,"FW,MF",Osasuna,28,1995,26,9,929,10.3,2,1,3,2,0,0,3,0,0.19,0.10,0.29,0.19,0.29,Matches
39,Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,34,22,2047,22.7,9,4,13,9,0,0,1,0,0.40,0.18,0.57,0.40,0.57,Matches
40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,14,13,1198,13.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Iago Aspas,es ESP,FW,Celta Vigo,35,1987,35,31,2707,30.1,9,10,19,6,3,5,6,1,0.30,0.33,0.63,0.20,0.53,Matches
42,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29,1994,17,10,864,9.6,1,3,4,1,0,0,3,2,0.10,0.31,0.42,0.10,0.42,Matches
43,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,29,1994,6,4,298,3.3,1,0,1,1,0,0,4,1,0.30,0.00,0.30,0.30,0.30,Matches
44,César Azpilicueta,es ESP,"DF,MF",Atlético Madrid,33,1989,25,14,1423,15.8,0,2,2,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,25,14,1430,15.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,28,27,2277,25.3,0,1,1,0,0,0,5,1,0.00,0.04,0.04,0.00,0.04,Matches
48,Álex Baena,es ESP,"MF,FW",Villarreal,22,2001,34,33,2579,28.7,2,14,16,2,0,1,11,1,0.07,0.49,0.56,0.07,0.56,Matches
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,10,9,839,9.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Cédric Bakambu,cd COD,FW,Real Betis,32,1991,4,2,194,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Alejandro Balde,es ESP,"DF,MF",Barcelona,19,2003,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,33,32,2873,31.9,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches
53,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27,1996,27,24,1981,22.0,3,2,5,3,0,0,0,0,0.14,0.09,0.23,0.14,0.23,Matches
54,Léo Baptistão,br BRA,"FW,MF",Almería,30,1992,32,22,1837,20.4,6,0,6,6,0,0,6,1,0.29,0.00,0.29,0.29,0.29,Matches
55,Kike Barja,es ESP,"FW,MF",Osasuna,26,1997,16,3,303,3.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,21,2001,29,20,1427,15.9,4,1,5,4,0,0,1,0,0.25,0.06,0.32,0.25,0.32,Matches
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,24,17,1555,17.3,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
58,Marc Bartra,es ESP,DF,Real Betis,32,1991,3,3,225,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17,17,1530,17.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Bebé,cv CPV,"FW,MF",Rayo Vallecano,33,1990,19,0,212,2.4,2,0,2,1,1,1,1,0,0.85,0.00,0.85,0.42,0.42,Matches
61,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,28,1995,15,8,771,8.6,2,2,4,2,0,0,1,0,0.23,0.23,0.47,0.23,0.47,Matches
62,Héctor Bellerín,es ESP,DF,Real Betis,28,1995,23,20,1711,19.0,0,1,1,0,0,0,0,1,0.00,0.05,0.05,0.00,0.05,Matches
63,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,20,2003,28,27,2315,25.7,19,6,25,18,1,1,5,1,0.74,0.23,0.97,0.70,0.93,Matches
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,33,28,2428,27.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,29,10,1136,12.6,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32,Matches
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,27,22,1930,21.4,3,1,4,3,0,0,5,0,0.14,0.05,0.19,0.14,0.19,Matches
67,Álex Berenguer,es ESP,MF,Athletic Club,28,1995,35,15,1592,17.7,7,3,10,6,1,1,4,0,0.40,0.17,0.57,0.34,0.51,Matches
68,Antonio Blanco,es ESP,MF,Alavés,23,2000,33,29,2426,27.0,0,1,1,0,0,0,5,1,0.00,0.04,0.04,0.00,0.04,Matches
69,Daley Blind,nl NED,DF,Girona,33,1990,34,33,2972,33.0,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09,Matches
70,Adri Bosch,es ESP,DF,Granada,22,2001,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Lucas Boyé,ar ARG,FW,Granada,27,1996,31,30,2541,28.2,6,3,9,6,0,0,8,1,0.21,0.11,0.32,0.21,0.32,Matches
73,Darko Brašanac,rs SRB,MF,Osasuna,31,1992,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Brau,es ESP,DF,Granada,21,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Claudio Bravo,cl CHI,GK,Real Betis,40,1983,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Ben Brereton,cl CHI,"MF,FW",Villarreal,24,1999,14,2,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Ante Budimir,hr CRO,FW,Osasuna,32,1991,33,29,2435,27.1,17,2,19,14,3,4,4,0,0.63,0.07,0.70,0.52,0.59,Matches
78,Manu Bueno,es ESP,MF,Sevilla,19,2004,4,1,117,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Pablo Busto,es ESP,DF,Real Betis,17,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
80,José Callejón,es ESP,"MF,FW",Granada,36,1987,25,7,803,8.9,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
81,Eduardo Camavinga,fr FRA,MF,Real Madrid,20,2002,31,21,1817,20.2,0,2,2,0,0,0,9,0,0.00,0.10,0.10,0.00,0.10,Matches
82,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,31,20,1661,18.5,3,1,4,3,0,0,3,0,0.16,0.05,0.22,0.16,0.22,Matches
83,José Campaña,es ESP,MF,Las Palmas,30,1993,8,1,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
84,João Cancelo,pt POR,DF,Barcelona,29,1994,32,29,2503,27.8,2,4,6,2,0,0,7,0,0.07,0.14,0.22,0.07,0.22,Matches
85,Sergi Canós,es ESP,MF,Valencia,26,1997,27,15,1229,13.7,1,2,3,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,Matches
86,Étienne Capoue,fr FRA,MF,Villarreal,35,1988,32,15,1455,16.2,1,1,2,1,0,0,8,0,0.06,0.06,0.12,0.06,0.12,Matches
87,Isaac Carcelen,es ESP,DF,Cádiz,30,1993,35,29,2611,29.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Marc Cardona,es ESP,FW,Las Palmas,28,1995,26,6,737,8.2,4,1,5,3,1,1,4,0,0.49,0.12,0.61,0.37,0.49,Matches
90,Sergi Cardona,es ESP,DF,Las Palmas,24,1999,35,30,2814,31.3,1,2,3,1,0,0,11,0,0.03,0.06,0.10,0.03,0.10,Matches
91,Johnny Cardoso,us USA,MF,Real Betis,21,2001,17,15,1328,14.8,1,2,3,1,0,0,3,0,0.07,0.14,0.20,0.07,0.20,Matches
92,Carmona,es ESP,"MF,DF",Getafe,21,2002,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.07,0.07,0.14,0.07,0.14,Matches
93,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,29,1993,3,3,221,2.5,0,1,1,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches
94,Álvaro Carreras,es ESP,"MF,FW",Granada,20,2003,13,5,475,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
95,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,28,25,2171,24.1,4,3,7,4,0,0,5,1,0.17,0.12,0.29,0.17,0.29,Matches
96,William Carvalho,pt POR,MF,Real Betis,31,1992,22,4,680,7.6,1,3,4,1,0,0,2,0,0.13,0.40,0.53,0.13,0.53,Matches
97,Marc Casado,es ESP,MF,Barcelona,19,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Catena,es ESP,DF,Osasuna,28,1994,30,28,2534,28.2,1,3,4,1,0,0,8,1,0.04,0.11,0.14,0.04,0.14,Matches
99,Dani Ceballos,es ESP,MF,Real Madrid,26,1996,20,5,598,6.6,0,2,2,0,0,0,2,0,0.00,0.30,0.30,0.00,0.30,Matches
100,Álex Centelles,es ESP,DF,Almería,25,1997,14,11,980,10.9,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,29,1994,17,5,546,6.1,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
102,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,25,1998,22,12,1167,13.0,1,1,2,1,0,0,6,1,0.08,0.08,0.15,0.08,0.15,Matches
103,Andreas Christensen,dk DEN,"DF,MF",Barcelona,27,1996,30,27,1979,22.0,2,2,4,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches
104,Chumi,es ESP,DF,Almería,24,1999,31,26,2434,27.0,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches
105,Víctor Chust,es ESP,DF,Cádiz,23,2000,22,22,1864,20.7,0,1,1,0,0,0,3,2,0.00,0.05,0.05,0.00,0.05,Matches
106,Pathé Ciss,sn SEN,MF,Rayo Vallecano,29,1994,31,16,1664,18.5,1,0,1,1,0,0,10,0,0.05,0.00,0.05,0.05,0.05,Matches
107,Silvi Clúa,es ESP,MF,Girona,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Saúl Coco,gq EQG,DF,Las Palmas,24,1999,30,26,2295,25.5,1,0,1,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches
109,Santi Comesaña,es ESP,MF,Villarreal,26,1996,27,20,1653,18.4,2,0,2,2,0,0,8,2,0.11,0.00,0.11,0.11,0.11,Matches
110,Copete,es ESP,DF,Mallorca,23,1999,19,17,1333,14.8,1,1,2,1,0,0,7,0,0.07,0.07,0.14,0.07,0.14,Matches
111,Francis Coquelin,fr FRA,MF,Villarreal,32,1991,17,10,910,10.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Theo Corbeanu,ca CAN,MF,Granada,21,2002,9,2,182,2.0,1,0,1,1,0,0,2,0,0.49,0.00,0.49,0.49,0.49,Matches
113,Jesús Corona,mx MEX,"DF,FW",Sevilla,30,1993,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,28,1995,32,14,1528,17.0,9,2,11,9,0,0,3,0,0.53,0.12,0.65,0.53,0.65,Matches
115,Thierry Correia,pt POR,DF,Valencia,24,1999,31,25,2154,23.9,0,2,2,0,0,0,4,1,0.00,0.08,0.08,0.00,0.08,Matches
116,Jaume Costa,es ESP,"DF,MF",Mallorca,35,1988,30,19,1682,18.7,0,1,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches
117,Samu Costa,pt POR,MF,Mallorca,22,2000,34,26,2303,25.6,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches
118,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,4,4,332,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Yan Couto,br BRA,"MF,DF",Girona,21,2002,34,24,2245,24.9,1,8,9,1,0,0,8,0,0.04,0.32,0.36,0.04,0.36,Matches
120,Crespo,pt POR,MF,Rayo Vallecano,26,1996,15,4,527,5.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Cristian,es ESP,GK,Valencia,25,1998,1,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Juan Cruz Armada,es ESP,DF,Osasuna,31,1992,26,18,1667,18.5,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
123,Juan Cruz,es ESP,MF,Real Betis,23,2000,5,0,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Pau Cubarsí,es ESP,DF,Barcelona,16,2007,19,18,1558,17.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Jorge Cuenca,es ESP,DF,Villarreal,23,1999,29,21,1963,21.8,3,1,4,3,0,0,7,0,0.14,0.05,0.18,0.14,0.18,Matches
127,Eric Curbelo,es ESP,DF,Las Palmas,29,1994,2,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Alberto Dadie,es ESP,DF,Real Sociedad,21,2002,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Sergi Darder,es ESP,MF,Mallorca,29,1993,36,21,2157,24.0,2,5,7,2,0,0,4,0,0.08,0.21,0.29,0.08,0.29,Matches
130,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,29,1994,34,25,2075,23.1,3,5,8,3,0,0,7,0,0.13,0.22,0.35,0.13,0.35,Matches
131,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,26,1996,14,12,1073,11.9,1,0,1,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches
132,Moussa Diakité,ml MLI,MF,Cádiz,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Assane Diao,sn SEN,MF,Real Betis,17,2005,18,13,1048,11.6,2,0,2,2,0,0,4,0,0.17,0.00,0.17,0.17,0.17,Matches
134,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,23,1999,31,18,1545,17.2,8,6,14,8,0,0,0,0,0.47,0.35,0.82,0.47,0.82,Matches
135,Víctor Díaz,es ESP,DF,Granada,35,1988,4,2,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Famara Diedhiou,sn SEN,FW,Granada,30,1992,8,0,89,1.0,0,1,1,0,0,0,1,0,0.00,1.01,1.01,0.00,1.01,Matches
137,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29,1993,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
138,Djené,tg TOG,"DF,MF",Getafe,31,1991,33,30,2484,27.6,0,0,0,0,0,0,14,1,0.00,0.00,0.00,0.00,0.00,Matches
139,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Jaume Doménech,es ESP,GK,Valencia,32,1990,2,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Carlos Dominguez,es ESP,DF,Celta Vigo,22,2001,22,18,1584,17.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Mario Dominguez,es ESP,MF,Valencia,19,2004,3,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Carlos Dotor,es ESP,MF,Celta Vigo,22,2001,17,7,708,7.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
144,Anastasios Douvikas,gr GRE,FW,Celta Vigo,23,1999,32,7,905,10.1,7,1,8,7,0,0,2,0,0.70,0.10,0.80,0.70,0.80,Matches
145,Artem Dovbyk,ua UKR,FW,Girona,26,1997,36,32,2587,28.7,24,8,32,17,7,8,2,0,0.83,0.28,1.11,0.59,0.87,Matches
146,Domingos Duarte,pt POR,DF,Getafe,28,1995,15,11,907,10.1,0,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches
147,Rubén Duarte,es ESP,DF,Alavés,27,1995,28,21,1878,20.9,2,1,3,2,0,0,7,0,0.10,0.05,0.14,0.10,0.14,Matches
148,Hugo Duro,es ESP,FW,Valencia,23,1999,37,35,2976,33.1,13,2,15,13,0,0,4,0,0.39,0.06,0.45,0.39,0.45,Matches
149,Aritz Elustondo,es ESP,DF,Real Sociedad,29,1994,15,7,812,9.0,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
150,Adri Embarba,es ESP,"MF,FW",Almería,31,1992,36,29,2476,27.5,3,2,5,2,1,1,5,0,0.11,0.07,0.18,0.07,0.15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Youssef En-Nesyri,ma MAR,FW,Sevilla,26,1997,33,28,2570,28.6,16,2,18,15,1,1,4,0,0.56,0.07,0.63,0.53,0.60,Matches
