Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 18_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Tony Abad,es ESP,"DF,MF",Huesca,27,1996,19.9,0,4,0,0.0,0.20,0.00,0.00,,0,0,Matches
2,Haitam Abaida,ma MAR,FW,Málaga,22,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
3,Amir Abedzadeh,ir IRN,GK,Castellón,31,1993,2.9,0,0,0,,0.00,0.00,,,0,0,Matches
4,Álvaro Aceves,es ESP,GK,Eldense,21,2003,0.7,0,0,0,,0.00,0.00,,,0,0,Matches
5,Adilson,pt POR,"FW,MF",Córdoba,27,1997,15.3,3,28,8,28.6,1.83,0.52,0.11,0.38,0,0,Matches
6,David Affengruber,at AUT,DF,Elche,23,2001,35.6,0,12,5,41.7,0.34,0.14,0.00,0.00,0,0,Matches
7,Martin Agirregabiria,es ESP,DF,Cartagena,28,1996,25.4,1,10,2,20.0,0.39,0.08,0.10,0.50,0,0,Matches
8,Marc Aguado,es ESP,MF,Elche,24,2000,6.0,0,2,0,0.0,0.33,0.00,0.00,,0,0,Matches
9,Marc Aguado,es ESP,MF,Zaragoza,24,2000,11.4,0,0,0,,0.00,0.00,,,0,0,Matches
10,Lalo Aguilar,es ESP,DF,Albacete,22,2002,29.8,0,11,1,9.1,0.37,0.03,0.00,0.00,0,0,Matches
11,Lucas Ahijado,es ESP,DF,Oviedo,29,1995,8.7,1,5,2,40.0,0.58,0.23,0.20,0.50,0,0,Matches
12,Ager Aketxe,es ESP,"MF,FW",Zaragoza,30,1993,20.9,2,54,18,33.3,2.58,0.86,0.04,0.11,0,1,Matches
13,Tomás Alarcón,cl CHI,"DF,MF",Cádiz,25,1999,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,0,0,Matches
14,Albarrán,es ESP,DF,Córdoba,30,1994,32.8,4,25,9,36.0,0.76,0.27,0.16,0.44,0,0,Matches
15,Raúl Alcaina,es ESP,MF,Dep. La Coruña,24,2000,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
16,Pedro Alcalá,es ESP,DF,Cartagena,35,1989,29.0,0,11,5,45.5,0.38,0.17,0.00,0.00,0,0,Matches
17,Rubén Alcaraz,es ESP,MF,Cádiz,33,1991,23.6,3,31,9,29.0,1.31,0.38,0.03,0.11,2,3,Matches
18,Aldasoro,es ESP,MF,Racing Sant,25,1999,32.1,2,34,7,20.6,1.06,0.22,0.06,0.29,0,0,Matches
19,Iker Alday,es ESP,DF,Eibar,21,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
20,Iván Alejo,es ESP,"MF,DF",Cádiz,29,1995,9.4,0,7,0,0.0,0.74,0.00,0.00,,0,0,Matches
21,Alexandre Alemão,br BRA,FW,Oviedo,26,1998,33.0,14,99,36,36.4,3.00,1.09,0.14,0.39,0,0,Matches
22,Alejandro Alfaro,es ESP,MF,Dep. La Coruña,22,2002,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
23,Ángel Algobia,es ESP,MF,Levante,25,1999,8.9,2,9,3,33.3,1.01,0.34,0.22,0.67,0,0,Matches
24,Julio Alonso,es ESP,"MF,DF",Mirandés,25,1998,23.3,0,9,1,11.1,0.39,0.04,0.00,0.00,0,0,Matches
25,Agustín Álvarez,uy URU,"FW,MF",Elche,23,2001,25.9,8,72,29,40.3,2.78,1.12,0.11,0.28,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Carlos Álvarez,es ESP,"MF,FW",Levante,20,2003,37.6,7,47,17,36.2,1.25,0.45,0.15,0.41,0,0,Matches
27,César Álvarez,es ESP,DF,Tenerife,21,2003,8.0,0,4,0,0.0,0.50,0.00,0.00,,0,0,Matches
28,Ismael Álvarez,es ESP,FW,Cádiz,16,2007,0.0,0,1,0,0.0,22.50,0.00,0.00,,0,0,Matches
29,Sergio Álvarez,es ESP,MF,Eibar,32,1992,31.0,0,12,5,41.7,0.39,0.16,0.00,0.00,0,0,Matches
30,Rubén Alves,es ESP,DF,Tenerife,29,1994,6.7,1,3,1,33.3,0.45,0.15,0.33,1.00,0,0,Matches
31,Rubén Alves,es ESP,DF,Córdoba,29,1994,8.1,2,10,5,50.0,1.24,0.62,0.20,0.40,0,0,Matches
32,Jair Amador,gq EQG,DF,Zaragoza,34,1989,18.4,2,13,6,46.2,0.71,0.33,0.15,0.33,0,0,Matches
33,Andy,es ESP,MF,Cartagena,34,1990,24.6,4,24,9,37.5,0.98,0.37,0.04,0.11,3,3,Matches
34,José Ángel,es ESP,DF,Sporting Gijón,34,1989,15.1,1,12,3,25.0,0.79,0.20,0.08,0.33,0,0,Matches
35,José Ángel,es ESP,MF,Dep. La Coruña,32,1992,21.7,0,19,4,21.1,0.88,0.18,0.00,0.00,0,0,Matches
36,Miguel Ángel Rubio,es ESP,DF,Granada,26,1998,29.0,3,19,7,36.8,0.66,0.24,0.16,0.43,0,0,Matches
37,Hugo Anglada,es ESP,DF,Huesca,20,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
38,Josep Antoni Gayá,es ESP,DF,Tenerife,24,2000,10.4,0,6,0,0.0,0.58,0.00,0.00,,0,0,Matches
39,José Antonio,es ESP,MF,Cádiz,20,2004,9.3,1,16,4,25.0,1.72,0.43,0.06,0.25,0,0,Matches
40,José Antonio Ríos,es ESP,DF,Cartagena,34,1990,11.9,0,4,0,0.0,0.34,0.00,0.00,,0,0,Matches
41,Juan Antonio Ros,es ESP,DF,Albacete,28,1996,11.7,0,5,0,0.0,0.43,0.00,0.00,,0,0,Matches
42,Kévin Appin,mq MTQ,MF,Burgos,26,1998,5.7,0,4,1,25.0,0.70,0.18,0.00,0.00,0,0,Matches
43,Aritz Arambarri,es ESP,DF,Eibar,26,1998,26.8,0,7,1,14.3,0.26,0.04,0.00,0.00,0,0,Matches
44,Arana,es ESP,FW,Racing Sant,24,2000,25.2,13,86,35,40.7,3.41,1.39,0.15,0.37,0,0,Matches
45,Anaitz Arbilla,es ESP,DF,Eibar,37,1987,25.8,0,17,5,29.4,0.66,0.19,0.00,0.00,0,0,Matches
46,Adu Ares,es ESP,"MF,DF",Zaragoza,22,2001,16.3,2,33,7,21.2,2.02,0.43,0.06,0.29,0,0,Matches
47,Jeremy Arévalo,ec ECU,MF,Racing Sant,19,2005,1.7,0,0,0,,0.00,0.00,,,0,0,Matches
48,Ayman Arguigue,ma MAR,FW,Huesca,19,2005,1.0,0,2,2,100.0,2.02,2.02,0.00,0.00,0,0,Matches
49,Kervin Arriaga,hn HON,"MF,DF",Zaragoza,26,1998,14.6,1,13,4,30.8,0.89,0.27,0.08,0.25,0,0,Matches
50,Sergio Arribas,es ESP,MF,Almería,22,2001,28.7,8,79,28,35.4,2.75,0.97,0.10,0.29,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Hodei Arrillaga,,DF,Eibar,,,17.5,0,7,1,14.3,0.40,0.06,0.00,0.00,0,0,Matches
52,Anderson Arroyo,co COL,DF,Burgos,24,1999,29.9,0,9,0,0.0,0.30,0.00,0.00,,0,0,Matches
53,Assane,sn SEN,MF,Cartagena,24,1999,14.2,0,10,4,40.0,0.70,0.28,0.00,0.00,0,0,Matches
54,Miguel Atienza,es ESP,MF,Burgos,25,1999,34.7,0,18,8,44.4,0.52,0.23,0.00,0.00,0,0,Matches
55,Douglas Aurélio,pt POR,"FW,MF",Castellón,25,1999,14.8,3,43,21,48.8,2.91,1.42,0.07,0.14,0,0,Matches
56,Ivan Azón,es ESP,FW,Zaragoza,21,2002,16.2,7,48,19,39.6,2.96,1.17,0.15,0.37,0,0,Matches
57,Iddrisu Baba,gh GHA,MF,Almería,28,1996,6.8,0,3,0,0.0,0.44,0.00,0.00,,0,0,Matches
58,Édgar Badía,es ESP,GK,Tenerife,32,1992,22.0,0,0,0,,0.00,0.00,,,0,0,Matches
59,Édgar Badía,es ESP,GK,Elche,32,1992,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
60,Léo Baptistão,br BRA,"MF,FW",Almería,31,1992,27.1,10,100,33,33.0,3.69,1.22,0.10,0.30,0,0,Matches
61,Barbero,es ESP,FW,Dep. La Coruña,25,1998,19.7,7,55,23,41.8,2.79,1.17,0.13,0.30,0,0,Matches
62,Matías Barboza,es ESP,DF,Córdoba,22,2002,1.1,0,0,0,,0.00,0.00,,,0,0,Matches
63,Daniel Barcia,es ESP,DF,Dep. La Coruña,21,2003,16.0,0,6,0,0.0,0.37,0.00,0.00,,0,0,Matches
64,Keidi Bare,al ALB,MF,Zaragoza,26,1997,18.3,0,19,4,21.1,1.04,0.22,0.00,0.00,0,1,Matches
65,Gabriel Bares,ch SUI,MF,Burgos,23,2000,1.3,0,0,0,,0.00,0.00,,,0,0,Matches
66,Matia Barzic,hr CRO,DF,Eldense,20,2004,13.9,0,1,0,0.0,0.07,0.00,0.00,,0,0,Matches
67,Matia Barzic,hr CRO,DF,Elche,20,2004,4.9,0,2,1,50.0,0.41,0.20,0.00,0.00,0,0,Matches
68,Aboubacar Bassinga,bf BFA,FW,Mirandés,19,2005,0.5,0,1,0,0.0,1.87,0.00,0.00,,0,0,Matches
69,Borja Bastón,es ESP,FW,Granada,31,1992,2.2,0,8,1,12.5,3.62,0.45,0.00,0.00,0,0,Matches
70,Roko Baturina,hr CRO,FW,Málaga,24,2000,9.9,2,22,6,27.3,2.21,0.60,0.09,0.33,0,1,Matches
71,Jon Bautista,es ESP,FW,Eibar,29,1995,28.9,11,95,36,37.9,3.29,1.25,0.12,0.31,0,0,Matches
72,Samed Baždar,ba BIH,"FW,MF",Zaragoza,20,2004,18.8,4,41,18,43.9,2.18,0.96,0.10,0.22,0,0,Matches
73,Bebé,cv CPV,"MF,FW",Racing Ferrol,34,1990,9.2,0,23,7,30.4,2.51,0.76,0.00,0.00,0,0,Matches
74,Axel Bejarano Fernandez,es ESP,FW,Huesca,19,2005,0.4,0,0,0,,0.00,0.00,,,0,0,Matches
75,Iker Benito,es ESP,"DF,MF",Mirandés,21,2002,15.7,1,23,5,21.7,1.47,0.32,0.04,0.20,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Sergio Bermejo,es ESP,MF,Zaragoza,26,1997,3.0,0,3,0,0.0,1.00,0.00,0.00,,0,0,Matches
77,Álex Bernal,es ESP,"MF,FW",Eldense,33,1991,12.6,1,9,3,33.3,0.72,0.24,0.11,0.33,0,0,Matches
78,Jesús Bernal,es ESP,MF,Sporting Gijón,27,1996,6.9,0,3,0,0.0,0.43,0.00,0.00,,0,0,Matches
79,Emilio Bernard,es ESP,GK,Racing Ferrol,24,1999,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
80,Pedro Bigas,es ESP,DF,Elche,33,1990,28.5,2,24,9,37.5,0.84,0.32,0.08,0.22,0,0,Matches
81,Raúl Blanco,es ESP,"FW,MF",Racing Ferrol,23,2001,7.0,0,20,7,35.0,2.84,1.00,0.00,0.00,0,0,Matches
82,Jérémy Blasco,fr FRA,DF,Huesca,25,1999,26.8,1,2,1,50.0,0.07,0.04,0.50,1.00,0,0,Matches
83,Adam Boayar,ma MAR,FW,Elche,18,2005,1.0,1,4,3,75.0,4.14,3.10,0.25,0.33,0,0,Matches
84,Yann Bodiger,fr FRA,MF,Tenerife,29,1995,21.0,0,31,3,9.7,1.48,0.14,0.00,0.00,0,0,Matches
85,Rahim Bonkano,ne NIG,DF,Oviedo,22,2002,20.6,0,3,0,0.0,0.15,0.00,0.00,,0,0,Matches
86,Santi Borikó,gq EQG,DF,Castellón,21,2003,1.2,0,0,0,,0.00,0.00,,,0,0,Matches
87,David Bosilj,si SVN,FW,Castellón,22,2002,1.9,1,5,4,80.0,2.69,2.16,0.20,0.25,0,0,Matches
88,Mohamed Bouldini,ma MAR,FW,Levante,28,1995,0.9,0,5,2,40.0,5.49,2.20,0.00,0.00,0,0,Matches
89,Mohamed Bouldini,ma MAR,FW,Dep. La Coruña,28,1995,7.2,1,14,3,21.4,1.94,0.42,0.07,0.33,0,0,Matches
90,Mohamed Bouzaidi Diouri,ma MAR,MF,Eldense,24,1999,3.2,1,11,4,36.4,3.40,1.24,0.09,0.25,0,0,Matches
91,Lucas Boyé,ar ARG,FW,Granada,28,1996,28.8,10,86,28,32.6,2.99,0.97,0.08,0.25,3,4,Matches
92,Quentin Braat,fr FRA,GK,Oviedo,27,1997,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
93,Brau,es ESP,DF,Granada,22,2001,20.5,2,16,5,31.3,0.78,0.24,0.13,0.40,0,0,Matches
94,Brugui,es ESP,"FW,MF",Levante,27,1996,27.2,11,65,26,40.0,2.39,0.96,0.17,0.42,0,0,Matches
95,Aitor Buñuel,es ESP,DF,Racing Ferrol,26,1998,24.1,1,9,5,55.6,0.37,0.21,0.11,0.20,0,0,Matches
96,Adrián Butzke,es ESP,FW,Mirandés,25,1999,3.3,1,12,4,33.3,3.67,1.22,0.08,0.25,0,0,Matches
97,Erick Cabaco,uy URU,DF,Racing Ferrol,29,1995,1.5,0,0,0,,0.00,0.00,,,0,0,Matches
98,Jorge Cabello,es ESP,DF,Levante,20,2004,16.3,0,0,0,,0.00,0.00,,,0,0,Matches
99,Jordy Caicedo,ec ECU,FW,Sporting Gijón,26,1997,8.0,2,17,5,29.4,2.12,0.62,0.06,0.20,1,1,Matches
100,Álex Calatrava,es ESP,"MF,FW",Castellón,24,2000,24.7,6,82,20,24.4,3.31,0.81,0.07,0.30,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Josep Calavera,es ESP,MF,Castellón,24,1999,9.3,0,2,2,100.0,0.21,0.21,0.00,0.00,0,0,Matches
102,Calderón,es ESP,DF,Córdoba,24,2000,24.5,0,13,2,15.4,0.53,0.08,0.00,0.00,0,0,Matches
103,Iván Calero,es ESP,DF,Zaragoza,29,1995,27.4,0,34,5,14.7,1.24,0.18,0.00,0.00,0,0,Matches
104,Álex Calvo,es ESP,FW,Mirandés,20,2004,2.0,1,4,2,50.0,1.97,0.98,0.25,0.50,0,0,Matches
105,Dani Calvo,es ESP,DF,Oviedo,30,1994,40.8,2,20,6,30.0,0.49,0.15,0.10,0.33,0,0,Matches
106,Ousmane Camara,gn GUI,FW,Castellón,22,2001,11.6,3,37,10,27.0,3.20,0.86,0.08,0.30,0,0,Matches
107,Sulei Camara,gm GAM,MF,Racing Sant,22,2001,5.0,1,7,3,42.9,1.40,0.60,0.14,0.33,0,0,Matches
108,Víctor Camarasa,es ESP,MF,Eldense,30,1994,11.5,0,16,4,25.0,1.40,0.35,0.00,0.00,0,0,Matches
109,Gaspar Campos,es ESP,"MF,FW",Sporting Gijón,24,2000,16.3,4,36,10,27.8,2.21,0.61,0.11,0.40,0,0,Matches
110,Víctor Campuzano,es ESP,FW,Sporting Gijón,27,1997,11.6,5,40,16,40.0,3.44,1.37,0.10,0.25,1,2,Matches
111,Álex Cantero,es ESP,"MF,FW",Tenerife,24,2000,10.4,2,35,13,37.1,3.36,1.25,0.06,0.15,0,0,Matches
112,Ander Cantero,es ESP,GK,Burgos,29,1995,42.0,0,0,0,,0.00,0.00,,,0,0,Matches
113,Mario Cantero,es ESP,MF,Burgos,22,2002,3.4,0,2,0,0.0,0.59,0.00,0.00,,0,0,Matches
114,David Carballo,es ESP,MF,Racing Ferrol,18,2006,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
115,Isaac Carcelen,es ESP,DF,Cádiz,31,1993,28.3,1,11,5,45.5,0.39,0.18,0.09,0.20,0,0,Matches
116,Álex Cardero,es ESP,MF,Oviedo,20,2003,6.6,1,9,3,33.3,1.36,0.45,0.11,0.33,0,0,Matches
117,Carlo,es ESP,MF,Mirandés,23,2001,0.8,0,2,1,50.0,2.65,1.32,0.00,0.00,0,0,Matches
118,José Carlos Lazo,es ESP,"MF,FW",Albacete,28,1996,9.4,1,27,8,29.6,2.89,0.86,0.04,0.13,0,0,Matches
119,Cristian Carracedo,es ESP,"FW,MF",Córdoba,28,1995,36.5,5,51,20,39.2,1.40,0.55,0.06,0.15,2,2,Matches
120,Marco Carrascal,es ESP,DF,Racing Sant,21,2003,0.4,0,0,0,,0.00,0.00,,,0,0,Matches
121,Oscar Carrasco Sojo,es ESP,MF,Eibar,21,2002,0.1,0,1,0,0.0,9.00,0.00,0.00,,0,0,Matches
122,Álvaro Carrillo,es ESP,DF,Eibar,22,2002,14.4,1,4,1,25.0,0.28,0.07,0.25,1.00,0,0,Matches
123,Antonio Casas,es ESP,FW,Córdoba,24,2000,29.4,10,83,20,24.1,2.82,0.68,0.12,0.50,0,0,Matches
124,Sergio Castel,es ESP,FW,Málaga,29,1995,4.5,1,7,2,28.6,1.54,0.44,0.14,0.50,0,0,Matches
125,David Castro,es ESP,DF,Racing Ferrol,28,1995,20.3,0,8,1,12.5,0.39,0.05,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Javier Castro,es ESP,DF,Racing Sant,23,2000,30.7,3,21,8,38.1,0.68,0.26,0.14,0.38,0,0,Matches
127,Nicolás Castro,ar ARG,MF,Elche,23,2000,25.5,4,55,22,40.0,2.16,0.86,0.05,0.14,1,1,Matches
128,Santi Cazorla,es ESP,"MF,FW",Oviedo,39,1984,21.1,3,28,9,32.1,1.33,0.43,0.04,0.11,2,3,Matches
129,Álex Centelles,es ESP,"DF,MF",Almería,26,1997,27.6,2,19,5,26.3,0.69,0.18,0.11,0.40,0,0,Matches
130,Luis Chacón,es ESP,MF,Dep. La Coruña,24,2000,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
131,Ilyas Chaira,ma MAR,"MF,FW",Oviedo,23,2001,24.8,7,72,23,31.9,2.90,0.93,0.10,0.30,0,0,Matches
132,Chapela,es ESP,MF,Eldense,25,1999,17.1,4,39,14,35.9,2.28,0.82,0.10,0.29,0,0,Matches
133,Willy Chatiliez,cl CHI,MF,Huesca,19,2005,1.0,1,3,1,33.3,3.10,1.03,0.33,1.00,0,0,Matches
134,Checo,es ESP,DF,Cartagena,19,2004,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
135,Chema,es ESP,DF,Eibar,32,1992,9.7,1,7,2,28.6,0.72,0.21,0.14,0.50,0,0,Matches
136,Chiki,es ESP,"FW,MF",Racing Ferrol,27,1996,11.7,1,22,4,18.2,1.88,0.34,0.00,0.00,1,1,Matches
137,Daijiro Chirino,cw CUW,"DF,MF",Castellón,22,2002,33.3,0,17,5,29.4,0.51,0.15,0.00,0.00,0,0,Matches
138,Chumi,es ESP,DF,Almería,25,1999,26.4,0,4,2,50.0,0.15,0.08,0.00,0.00,0,0,Matches
139,Chupete,es ESP,FW,Málaga,19,2004,10.8,4,22,9,40.9,2.03,0.83,0.18,0.44,0,0,Matches
140,Churripi,es ESP,GK,Cádiz,30,1994,4.6,0,0,0,,0.00,0.00,,,0,0,Matches
141,Víctor Chust,es ESP,DF,Cádiz,24,2000,38.2,3,8,4,50.0,0.21,0.10,0.38,0.75,0,0,Matches
142,Brian Cipenga,cd COD,"MF,FW",Castellón,26,1998,7.6,3,20,7,35.0,2.62,0.92,0.15,0.43,0,0,Matches
143,Enrique Clemente,es ESP,DF,Zaragoza,25,1999,14.6,1,9,3,33.3,0.62,0.21,0.11,0.33,0,0,Matches
144,Óscar Clemente,es ESP,MF,Levante,25,1999,0.6,0,1,0,0.0,1.67,0.00,0.00,,0,0,Matches
145,Óscar Clemente,es ESP,MF,Cartagena,25,1999,11.5,0,11,1,9.1,0.96,0.09,0.00,0.00,0,0,Matches
146,Carlos Clerc,es ESP,MF,Elche,32,1992,0.7,0,0,0,,0.00,0.00,,,0,0,Matches
147,Mario Climent,es ESP,"DF,MF",Cádiz,22,2002,19.2,3,14,5,35.7,0.73,0.26,0.21,0.60,0,0,Matches
148,Silvi Clúa,es ESP,MF,Almería,19,2005,4.5,0,2,0,0.0,0.44,0.00,0.00,,0,0,Matches
149,Diego Collado,es ESP,"FW,MF",Eldense,23,2001,10.4,2,24,6,25.0,2.31,0.58,0.08,0.33,0,0,Matches
150,Santiago Colombatto,ar ARG,MF,Oviedo,27,1997,36.0,4,35,10,28.6,0.97,0.28,0.09,0.30,1,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
151,Arnau Comas,es ESP,DF,Eibar,24,2000,7.5,0,1,0,0.0,0.13,0.00,0.00,,0,0,Matches
152,Theo Corbeanu,ca CAN,MF,Granada,22,2002,2.8,0,7,3,42.9,2.49,1.07,0.00,0.00,0,0,Matches
153,Gabriele Corbo,it ITA,DF,Córdoba,24,2000,1.5,0,1,0,0.0,0.67,0.00,0.00,,0,0,Matches
154,Antonio Cordero,es ESP,MF,Málaga,17,2006,23.2,6,67,23,34.3,2.89,0.99,0.04,0.13,3,4,Matches
155,Aitor Córdoba,es ESP,DF,Burgos,29,1995,40.4,1,10,2,20.0,0.25,0.05,0.10,0.50,0,0,Matches
156,Iñigo Córdoba,es ESP,"MF,DF",Burgos,27,1997,18.2,3,31,9,29.0,1.70,0.49,0.10,0.33,0,0,Matches
157,José Corpas,es ESP,"DF,MF",Eibar,33,1991,31.9,6,54,21,38.9,1.69,0.66,0.07,0.19,2,3,Matches
158,Rober Correa,es ESP,DF,Racing Ferrol,31,1992,14.9,0,8,2,25.0,0.54,0.13,0.00,0.00,0,0,Matches
159,Álex Corredera,es ESP,MF,Tenerife,28,1996,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
160,Samu Cortés,es ESP,FW,Granada,18,2006,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
161,Borja Cortina,es ESP,DF,Levante,18,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
162,Jaume Costa,es ESP,DF,Albacete,36,1988,7.2,0,2,0,0.0,0.28,0.00,0.00,,0,0,Matches
163,David Costas,es ESP,DF,Oviedo,29,1995,28.5,1,6,3,50.0,0.21,0.11,0.17,0.33,0,0,Matches
164,Gonzalo Crettaz,ar ARG,GK,Castellón,24,2000,39.1,0,0,0,,0.00,0.00,,,0,0,Matches
165,Cristian,es ESP,GK,Albacete,26,1998,6.0,0,0,0,,0.00,0.00,,,0,0,Matches
166,Sergio Cubero Ezcurra,es ESP,DF,Eibar,24,1999,22.2,0,18,6,33.3,0.81,0.27,0.00,0.00,0,0,Matches
167,Cuenca,es ESP,FW,Zaragoza,21,2002,0.4,0,0,0,,0.00,0.00,,,0,0,Matches
168,Pablo Cuñat,es ESP,GK,Cartagena,22,2002,35.0,0,0,0,,0.00,0.00,,,0,0,Matches
169,Eric Curbelo,es ESP,DF,Sporting Gijón,30,1994,6.5,0,2,1,50.0,0.31,0.15,0.00,0.00,0,0,Matches
170,Curro,es ESP,"MF,FW",Burgos,28,1996,31.6,6,55,22,40.0,1.74,0.70,0.07,0.18,2,5,Matches
